participant,sentence
INV,here's the shirt .
INV,here's Chi shirt .
INV,here's Exp shirt .
INV,eyes .
INV,there are his eyes .
CHI,vest .
CHI,vest .
INV,vest ?
INV,put a vest on him .
INV,here's his vest .
CHI,0 .
INV,that's his vest .
INV,there's his vest .
INV,he needs a +...
CHI,0 . [+ trn]
INV,hat .
CHI,a hat .
INV,yeah .
INV,there it is .
INV,there's his hat .
INV,oops .
INV,take it off .
INV,take it off .
INV,take it off .
CHI,xxx . [+ trn]
INV,take it off .
INV,take it off .
INV,oops .
INV,take off his hat .
CHI,0 .
INV,oops .
INV,there it is .
CHI,0 .
INV,there's no more .
CHI,soap .
INV,soap ?
CHI,0 .
INV,more Play_doh ?
INV,more Play_doh ?
CHI,0 .
INV,0 .
CHI,0 .
INV,take the top off .
CHI,help .
INV,help .
INV,okay .
INV,I'll help you .
INV,take it off .
INV,top off .
INV,top .
INV,off .
CHI,0 .
CHI,0 .
CHI,0 .
INV,there's more .
INV,&=gasp . [+ trn]
INV,there it is .
CHI,0 .
CHI,xxx .
INV,there's his (.) shirt .
INV,squish it out .
INV,squish@o (.) squish@o .
CHI,squish .
INV,squish@o .
CHI,squish .
INV,squish@o .
CHI,0 .
INV,roll it out .
INV,roll it out .
INV,&=gasp . [+ trn]
INV,roll it .
INV,roll it out .
CHI,xxx .
CHI,xxx .
INV,shirt .
CHI,hat .
CHI,hat .
INV,here's his hat .
CHI,0 .
CHI,xxx .
INV,you want the little hat or the big hat ?
INV,big hat ?
CHI,0 .
INV,or little hat ?
CHI,0 .
INV,0 .
CHI,0 .
INV,big hat .
CHI,0 .
CHI,0 .
INV,0 .
CHI,0 .
INV,there's his hat .
CHI,0 .
INV,here's the shirt .
INV,let's take his shirt off .
INV,squish it out .
INV,squish@o .
CHI,0 .
INV,roll it out .
INV,roll it out .
INV,&-uh oh .
INV,roll it out .
CHI,0 .
INV,&=laughs .
INV,there's his shirt on .
CHI,0 .
INV,there's his shirt .
CHI,0 .
CHI,0 .
INV,there's his shirt .
INV,put his shirt on .
INV,there's his shirt .
CHI,0 .
INV,hop@o hop@o hop@o hop@o hop@o hop@o .
CHI,0 .
INV,hop@o hop@o hop@o hop@o .
INV,hop@o hop@o hop@o hop@o .
CHI,0 .
CHI,0 .
INV,hop@o hop@o hop@o hop@o .
CHI,hands .
CHI,hands .
INV,&-uh huh .
CHI,hands .
INV,hands .
CHI,0 .
CHI,0 .
INV,there's his hands .
CHI,0 .
INV,there's Chi hand .
INV,0 . [+ trn]
CHI,hand .
INV,here's his other hand .
CHI,0 .
INV,there's his hands .
INV,there's Chi's hand .
CHI,yyy .
INV,he needs a hat .
CHI,0 .
INV,there's his hat .
INV,there's his hat .
INV,0 .
CHI,0 [>] .
INV,hat [<] .
CHI,0 [>] .
INV,mhm [<] .
INV,hat goes on his head .
INV,his hand fell off .
CHI,0 .
CHI,0 .
INV,&-uh oh .
INV,it fell off .
INV,Chi .
CHI,0 .
INV,here let's try this .
CHI,0 .
INV,here are his eyes .
CHI,0 .
INV,&-uh oh .
INV,it dropped .
CHI,0 .
INV,let's put the paper up here .
CHI,0 .
CHI,0 .
INV,here's his shirt .
INV,squish it out .
INV,squish@o .
INV,squish@o .
INV,squish@o .
CHI,xxx .
INV,where's +...
CHI,0 .
INV,cat .
CHI,arf@o .
INV,there's the cat .
CHI,arf@o .
INV,dog ?
INV,let's get the dog .
CHI,0 .
INV,woof@o woof@o woof@o .
INV,wait a minute .
INV,there's the dog .
CHI,0 .
CHI,cow .
CHI,cow .
INV,cow ?
CHI,0 .
INV,moo@o .
INV,moo@o .
INV,moo@o .
CHI,0 .
CHI,0 .
CHI,0 .
INV,there's the dog .
INV,woof@o woof@o woof@o .
CHI,0 .
INV,let's squish it in .
INV,squish it in .
CHI,xxx . [+ trn]
CHI,0 .
INV,okay .
INV,you don't wanna do that .
CHI,yyy [= jargon] .
INV,mhm .
